Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions,Reception Errors,Block Solo,Block Assist,Total Blocks,Blocks/Set,Points,Points/Set
Lasell,Dexter Thomas,15,76,25,118,1.55,42,250,.304,1,0.01,4,0.05,12,0.16,2,0,7,41,48,0.63,149.5,2.0
Lasell,David Massa,17,62,25,83,1.34,32,199,.256,6,0.10,16,0.26,58,0.94,214,11,10,8,18,0.29,113.0,1.8
Lasell,Jasper Schultz,19,84,28,85,1.01,37,204,.235,13,0.15,18,0.21,95,1.13,250,11,4,11,15,0.18,112.5,1.3
Lasell,Carter Phillips,20,53,21,78,1.47,22,146,.384,4,0.08,14,0.26,13,0.25,5,0,13,32,45,0.85,121.0,2.3
Lasell,Josh Barahona,21,7,5,0,0.00,2,4,-.500,0,0.00,1,0.14,1,0.14,5,0,0,0,0,0.00,1.0,0.1
Lasell,Jordan Shinaut,23,85,25,292,3.44,93,635,.313,6,0.07,17,0.20,103,1.21,4,2,11,45,56,0.66,342.5,4.0
Penn St Behrend,Daniel Easly,1,57,21,59,1.04,40,168,.113,3,0.05,10,0.18,49,0.86,124,7,0,6,6,0.11,72.0,1.3
Penn St Behrend,Joshua Elegeer,2,82,25,149,1.82,68,485,.167,12,0.15,14,0.17,117,1.43,273,23,1,25,26,0.32,176.5,2.2
Penn St Behrend,Alex Jackson,3,99,28,87,0.88,19,226,.301,845,8.54,17,0.17,191,1.93,8,1,5,51,56,0.57,134.5,1.4
Penn St Behrend,Mark Sanford,5,18,13,18,1.00,7,43,.256,2,0.11,2,0.11,6,0.33,2,0,0,9,9,0.50,24.5,1.4
Penn St Behrend,Dylan Buzalka,8,99,28,218,2.20,116,639,.160,21,0.21,22,0.22,198,2.00,510,23,12,33,45,0.45,268.5,2.7
Penn St Behrend,Kevin Skweres,10,10,9,16,1.60,8,36,.222,0,0.00,1,0.10,4,0.40,0,0,0,3,3,0.30,18.5,1.9
Penn St Behrend,Diego Velazquez,11,67,24,2,0.03,0,7,.286,13,0.19,5,0.07,82,1.22,124,9,0,0,0,0.00,7.0,0.1
Penn St Behrend,Kyle Hoffman,12,79,27,177,2.24,59,420,.281,4,0.05,5,0.06,57,0.72,41,3,2,34,36,0.46,201.0,2.5
Penn St Behrend,Caden Mealy,14,18,12,1,0.06,0,7,.143,33,1.83,3,0.17,8,0.44,0,0,0,2,2,0.11,5.0,0.3
Penn St Behrend,Adrian Martinez,15,102,28,2,0.02,4,35,-.057,69,0.68,0,0.00,355,3.48,516,18,0,0,0,0.00,2.0,0.0
Penn St Behrend,Joseph Sciscio,16,31,17,33,1.06,10,69,.333,1,0.03,0,0.00,6,0.19,5,0,3,20,23,0.74,46.0,1.5
Penn St Behrend,Owen Wienczkowski,17,92,26,208,2.26,58,458,.328,5,0.05,10,0.11,34,0.37,6,1,11,72,83,0.90,265.0,2.9
Penn St Behrend,Lewis Rhodes,18,76,25,74,0.97,22,223,.233,0,0.00,4,0.05,19,0.25,3,2,12,53,65,0.86,116.5,1.5
Penn St Behrend,Cameron Schleicher,19,61,20,95,1.56,33,279,.222,10,0.16,8,0.13,100,1.64,145,9,0,19,19,0.31,112.5,1.8
Penn St Behrend,Luke Mumpower,20,75,24,1,0.01,2,6,-.167,30,0.40,33,0.44,36,0.48,0,0,0,0,0,0.00,34.0,0.5
Juniata,Austin Goodsel,1,41,15,17,0.41,3,36,.389,275,6.71,9,0.22,35,0.85,2,0,2,18,20,0.49,37.0,0.9
Juniata,Peter Carioto,2,61,19,1,0.02,1,3,.000,12,0.20,0,0.00,82,1.34,13,2,0,0,0,0.00,1.0,0.0
Juniata,Will Phelan,3,46,18,111,2.41,28,232,.358,4,0.09,4,0.09,45,0.98,137,8,3,11,14,0.30,123.5,2.7
Juniata,Reese Ganter,4,86,25,36,0.42,11,88,.284,821,9.55,6,0.07,134,1.56,3,1,2,25,27,0.31,56.5,0.7
Juniata,Tyler Goldsborough,5,100,29,273,2.73,141,585,.226,24,0.24,34,0.34,158,1.58,531,24,10,34,44,0.44,334.0,3.3
Juniata,Grant Lorelli,6,12,7,7,0.58,0,8,.875,60,5.00,5,0.42,6,0.50,0,0,0,1,1,0.08,12.5,1.0
Juniata,Kevin Duffy III,7,105,31,235,2.24,45,423,.449,3,0.03,5,0.05,15,0.14,7,1,35,84,119,1.13,317.0,3.0
Juniata,Maxwell Barr,8,71,20,153,2.15,80,381,.192,6,0.08,19,0.27,96,1.35,0,0,2,35,37,0.52,191.5,2.7
Juniata,Tyler Phillips,9,22,9,38,1.73,16,81,.272,1,0.05,2,0.09,27,1.23,4,1,2,13,15,0.68,48.5,2.2
Juniata,Jordan Tyler,10,1,1,0,0.00,0,0,-,1,1.00,0,0.00,0,0.00,1,0,0,0,0,0.00,0.0,0.0
Juniata,Jeremiah Burden,11,115,32,2,0.02,1,7,.143,54,0.47,0,0.00,173,1.50,562,17,0,0,0,0.00,2.0,0.0
Juniata,Drew Hunker,12,90,26,39,0.43,19,98,.204,2,0.02,24,0.27,48,0.53,20,1,2,6,8,0.09,68.0,0.8
Juniata,Andrew Perhamus,13,9,5,0,0.00,0,0,-,1,0.11,0,0.00,7,0.78,6,0,0,0,0,0.00,0.0,0.0
Juniata,Jalen Denson,14,2,2,4,2.00,0,4,1.000,0,0.00,0,0.00,0,0.00,0,0,0,1,1,0.50,4.5,2.3
Juniata,Logan Constable,15,10,6,7,0.70,1,18,.333,0,0.00,2,0.20,2,0.20,0,0,3,4,7,0.70,14.0,1.4
Juniata,Jared Johnson,16,1,1,0,0.00,0,1,.000,0,0.00,0,0.00,0,0.00,2,0,0,0,0,0.00,0.0,0.0
Juniata,Max Cooley,17,81,25,187,2.31,100,453,.192,16,0.20,19,0.23,133,1.64,426,13,5,28,33,0.41,225.0,2.8
Juniata,Campbell Gerdeman,18,75,27,48,0.64,40,132,.061,8,0.11,15,0.20,80,1.07,44,4,1,11,12,0.16,69.5,0.9
Juniata,Jacob Hornberger,19,3,2,2,0.67,3,11,-.091,1,0.33,0,0.00,7,2.33,4,0,0,0,0,0.00,2.0,0.7
Juniata,Luke Hoffman,20,107,30,208,1.94,47,362,.445,3,0.03,42,0.39,27,0.25,2,0,14,75,89,0.83,301.5,2.8
Juniata,Joseph Chambers,33,17,6,25,1.47,7,48,.375,0,0.00,18,1.06,7,0.41,3,0,3,19,22,1.29,55.5,3.3
Regis,Marcello Cappuccio,1,96,29,0,0.00,3,15,-.200,49,0.51,0,0.00,311,3.24,590,39,0,0,0,0.00,0.0,0.0
Regis,Malakai DeHuelbes,2,43,13,0,0.00,0,1,.000,4,0.09,6,0.14,40,0.93,128,8,0,0,0,0.00,6.0,0.1
Regis,Joseph Perez,3,86,27,303,3.52,156,770,.191,15,0.17,25,0.29,117,1.36,282,24,7,29,36,0.42,349.5,4.1
Regis,Robert Burch,4,79,26,105,1.33,80,320,.078,2,0.03,4,0.05,14,0.18,29,4,7,25,32,0.41,128.5,1.6
Regis,Matt Ferrara,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Regis,Tyrell Bucasas,7,91,29,30,0.33,19,134,.082,681,7.48,20,0.22,155,1.70,7,0,5,22,27,0.30,66.0,0.7
Regis,Logan Sras,9,47,16,69,1.47,38,185,.168,1,0.02,1,0.02,19,0.40,1,0,3,14,17,0.36,80.0,1.7
Regis,Sam Segura-Suarez,10,28,18,1,0.04,1,2,.000,1,0.04,5,0.18,12,0.43,31,3,0,0,0,0.00,6.0,0.2
Regis,Orlando Plagata,13,63,20,98,1.56,51,325,.145,13,0.21,16,0.25,97,1.54,371,24,3,13,16,0.25,123.5,2.0
Regis,Francesco Buanne,14,93,29,128,1.38,68,313,.192,2,0.02,14,0.15,40,0.43,12,0,5,57,62,0.67,175.5,1.9
Regis,Chris Huynh,16,74,28,53,0.72,36,189,.090,6,0.08,10,0.14,48,0.65,141,7,4,12,16,0.22,73.0,1.0
Regis,John Nangle,17,82,26,127,1.55,56,322,.220,0,0.00,11,0.13,32,0.39,9,3,7,49,56,0.68,169.5,2.1
Regis,Donovan Ross,18,62,26,10,0.16,14,59,-.068,5,0.08,14,0.23,51,0.82,61,9,0,10,10,0.16,29.0,0.5
Regis,Stephen Allsopp II,19,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Regis,Alessandro DiPaola,21,48,22,6,0.13,2,16,.250,89,1.85,8,0.17,75,1.56,2,1,0,4,4,0.08,16.0,0.3
Baldwin Wallace,Michael Beard,1,109,33,407,3.73,139,922,.291,31,0.28,58,0.53,189,1.73,626,20,15,24,39,0.36,492.0,4.5
Baldwin Wallace,Nick Irelan,2,35,11,74,2.11,39,201,.174,2,0.06,14,0.40,55,1.57,212,9,2,4,6,0.17,92.0,2.6
Baldwin Wallace,Payton Reed,3,51,18,0,0.00,0,2,.000,18,0.35,0,0.00,79,1.55,197,9,0,0,0,0.00,0.0,0.0
Baldwin Wallace,Brandon Long,4,102,29,30,0.29,9,88,.239,1051,10.30,22,0.22,162,1.59,2,2,8,25,33,0.32,72.5,0.7
Baldwin Wallace,Carson Owens,5,24,9,27,1.13,10,55,.309,1,0.04,5,0.21,14,0.58,39,8,0,1,1,0.04,32.5,1.4
