Team,Name,Number,Sets Played,Matches Played,Kills,Kills/Set,Errors,Total Attempts,Hitting Percentage,Assists,Assists/Set,Service Aces,Service Aces/Set,Digs,Digs/Set,Receptions Errors,Receptions,Block Solo,Block Assist,Total Blocks,Blocks/Set
Marymount,Carlos Morales-Pagan,9,50,16,0,0.00,0,5,.000,7,0.14,1,0.02,68,1.36,1,33,0,0,0,0.00
Marymount,Jonathan Pickering,10,61,22,110,1.80,64,244,.189,16,0.26,9,0.15,60,0.98,10,226,3,6,9.0,0.15
Marymount,Nickolas Blose,11,45,17,7,0.16,8,26,-.038,14,0.31,1,0.02,37,0.82,28,247,0,0,0,0.00
Marymount,Nnikolas Blose,11,9,2,0,0.00,0,1,.000,1,0.11,0,0.00,12,1.33,4,53,0,0,0,0.00
Marymount,Aidan Smith,13,12,6,4,0.33,4,13,.000,15,1.25,0,0.00,5,0.42,0,1,0,0,0,0.00
Marymount,Carter Gresham,14,67,22,7,0.10,8,34,-.029,322,4.81,20,0.30,59,0.88,0,1,1,2,3.0,0.04
Marymount,Michael Schneider,15,15,9,2,0.13,4,12,-.167,0,0.00,2,0.13,1,0.07,0,0,0,0,0,0.00
Marymount,Gavin Poe,17,18,7,10,0.56,5,31,.161,2,0.11,3,0.17,3,0.17,0,1,3,4,7.0,0.39
Marymount,Ethan Frank,18,31,13,13,0.42,13,40,.000,2,0.06,12,0.39,19,0.61,4,64,0,2,2.0,0.06
Marymount,Gabriel Gonzales,19,8,5,3,0.38,0,7,.429,3,0.38,2,0.25,2,0.25,0,0,0,2,2.0,0.25
Marymount,Owen Pickett,20,56,20,0,0.00,0,4,.000,6,0.11,0,0.00,38,0.68,14,211,0,0,0,0.00
Marymount,Seth Richards,24,43,18,45,1.05,27,97,.186,2,0.05,1,0.02,4,0.09,0,3,1,14,15.0,0.35
Marymount,Luke Pogue,25,72,21,115,1.60,34,229,.354,3,0.04,12,0.17,26,0.36,0,2,15,25,40.0,0.56
Marymount,Mason Moore,28,70,19,85,1.21,33,184,.283,4,0.06,8,0.11,26,0.37,0,5,16,28,44.0,0.63
Marymount,Will Wright,30,11,4,8,0.73,10,32,-.063,3,0.27,3,0.27,14,1.27,2,54,0,0,0,0.00
Randolph-Macon,Brennan Clark,1,3,1,8,2.67,3,13,.385,0,0.00,1,0.33,4,1.33,0,0,0,1,1.0,0.33
Randolph-Macon,Kody Rogan,2,83,24,102,1.23,33,222,.311,734,8.84,33,0.40,175,2.11,3,6,13,37,50.0,0.60
Randolph-Macon,Owen Hahn,3,32,17,23,0.72,9,58,.241,1,0.03,0,0.00,1,0.03,0,2,7,21,28.0,0.88
Randolph-Macon,Davis Luck,4,18,11,47,2.61,20,117,.231,1,0.06,9,0.50,32,1.78,0,1,2,3,5.0,0.28
Randolph-Macon,Thomas Eubank,5,13,9,2,0.15,1,8,.125,78,6.00,3,0.23,11,0.85,0,1,0,4,4.0,0.31
Randolph-Macon,Brady Plucker,6,81,24,0,0.00,1,8,-.125,38,0.47,0,0.00,190,2.35,19,481,0,0,0,0.00
Randolph-Macon,Wesley Graves,7,36,15,61,1.69,43,163,.110,5,0.14,3,0.08,22,0.61,7,71,2,8,10.0,0.28
Randolph-Macon,Tyler DeMeritt,8,12,7,10,0.83,7,39,.077,0,0.00,2,0.17,7,0.58,1,19,0,7,7.0,0.58
